"","V1","V2"
"1","cg00004209","11"
"2","cg00007800","10"
"3","cg00014445","9"
"4","cg00027466","10"
"5","cg00038877","7"
"6","cg00040067","10"
"7","cg00053536","10"
"8","cg00069002","5"
"9","cg00069059","12"
"10","cg00072675","8"
"11","cg00076797","8"
"12","cg00090764","8"
"13","cg00092992","11"
"14","cg00100762","11"
"15","cg00111697","11"
"16","cg00137944","9"
"17","cg00154846","11"
"18","cg00160066","12"
"19","cg00160583","8"
"20","cg00163481","3"
"21","cg00185566","6"
"22","cg00194374","6"
"23","cg00205485","6"
"24","cg00224299","6"
"25","cg00224508","6"
"26","cg00234017","11"
"27","cg00248935","6"
"28","cg00259279","8"
"29","cg00259886","2"
"30","cg00262415","6"
"31","cg00265415","6"
"32","cg00311303","12"
"33","cg00313106","10"
"34","cg00325910","2"
"35","cg00339319","4"
"36","cg00358451","1"
"37","cg00371134","11"
"38","cg00373616","11"
"39","cg00385761","9"
"40","cg00392677","8"
"41","cg00395931","6"
"42","cg00416130","11"
"43","cg00450164","6"
"44","cg00454696","4"
"45","cg00505979","3"
"46","cg00506442","7"
"47","cg00535618","2"
"48","cg00540238","10"
"49","cg00578363","9"
"50","cg00578673","2"
"51","cg00647233","8"
"52","cg00652727","3"
"53","cg00664682","6"
"54","cg00693978","6"
"55","cg00702325","9"
"56","cg00706913","11"
"57","cg00772959","8"
"58","cg00779393","12"
"59","cg00813560","12"
"60","cg00815091","7"
"61","cg00832476","2"
"62","cg00864400","10"
"63","cg00866295","9"
"64","cg00867472","2"
"65","cg00909926","6"
"66","cg00920348","6"
"67","cg00935819","9"
"68","cg00952342","7"
"69","cg00954256","8"
"70","cg00971804","6"
"71","cg00972246","8"
"72","cg00986762","6"
"73","cg00992398","3"
"74","cg00993400","3"
"75","cg00994251","11"
"76","cg00997327","10"
"77","cg00997798","11"
"78","cg00999858","5"
"79","cg01021484","10"
"80","cg01049068","8"
"81","cg01049188","6"
"82","cg01059126","3"
"83","cg01067604","6"
"84","cg01070065","3"
"85","cg01071440","9"
"86","cg01079164","3"
"87","cg01079795","8"
"88","cg01121610","3"
"89","cg01128109","2"
"90","cg01138839","3"
"91","cg01144693","6"
"92","cg01194444","7"
"93","cg01196079","2"
"94","cg01198994","10"
"95","cg01215525","7"
"96","cg01237807","6"
"97","cg01241450","8"
"98","cg01242872","11"
"99","cg01309121","10"
"100","cg01311971","3"
"101","cg01337514","2"
"102","cg01352586","6"
"103","cg01364423","6"
"104","cg01364621","10"
"105","cg01380356","6"
"106","cg01420388","5"
"107","cg01421695","9"
"108","cg01425293","9"
"109","cg01435515","3"
"110","cg01445479","10"
"111","cg01448881","10"
"112","cg01455178","11"
"113","cg01460360","3"
"114","cg01470925","3"
"115","cg01486262","3"
"116","cg01537494","8"
"117","cg01550716","6"
"118","cg01552707","4"
"119","cg01552839","7"
"120","cg01566217","6"
"121","cg01601760","8"
"122","cg01603374","6"
"123","cg01620569","6"
"124","cg01643090","8"
"125","cg01676680","8"
"126","cg01689405","4"
"127","cg01711124","6"
"128","cg01712686","6"
"129","cg01715562","6"
"130","cg01719994","2"
"131","cg01720722","10"
"132","cg01726982","7"
"133","cg01729262","5"
"134","cg01768001","12"
"135","cg01768775","6"
"136","cg01791421","10"
"137","cg01796781","6"
"138","cg01797257","3"
"139","cg01800128","10"
"140","cg01809819","3"
"141","cg01819880","9"
"142","cg01827805","7"
"143","cg01876531","7"
"144","cg01891252","3"
"145","cg01892980","3"
"146","cg01903374","6"
"147","cg01906994","8"
"148","cg01909024","9"
"149","cg01912193","9"
"150","cg01914231","11"
"151","cg01926717","8"
"152","cg01933240","2"
"153","cg01957760","6"
"154","cg01973587","11"
"155","cg02041944","3"
"156","cg02054568","11"
"157","cg02058715","3"
"158","cg02084087","6"
"159","cg02097190","3"
"160","cg02099814","3"
"161","cg02107110","9"
"162","cg02161046","6"
"163","cg02234734","12"
"164","cg02234780","6"
"165","cg02234820","6"
"166","cg02284278","8"
"167","cg02297869","6"
"168","cg02302165","9"
"169","cg02309273","3"
"170","cg02309594","12"
"171","cg02312326","6"
"172","cg02313130","7"
"173","cg02332577","4"
"174","cg02334669","7"
"175","cg02357257","6"
"176","cg02371464","3"
"177","cg02391432","6"
"178","cg02411275","11"
"179","cg02415297","9"
"180","cg02435573","6"
"181","cg02457085","11"
"182","cg02460018","11"
"183","cg02482624","9"
"184","cg02486904","3"
"185","cg02490185","11"
"186","cg02490708","6"
"187","cg02525396","6"
"188","cg02573566","11"
"189","cg02578321","2"
"190","cg02589695","6"
"191","cg02610070","8"
"192","cg02626152","3"
"193","cg02626991","8"
"194","cg02631196","8"
"195","cg02632261","8"
"196","cg02634222","10"
"197","cg02709725","4"
"198","cg02736204","8"
"199","cg02772379","12"
"200","cg02825344","10"
"201","cg02833588","7"
"202","cg02848157","12"
"203","cg02854937","3"
"204","cg02859111","6"
"205","cg02896318","3"
"206","cg02896768","8"
"207","cg02896872","8"
"208","cg02907300","6"
"209","cg02932738","8"
"210","cg02935097","12"
"211","cg02971750","9"
"212","cg02973805","6"
"213","cg02989257","2"
"214","cg02997874","7"
"215","cg02999781","8"
"216","cg03003526","12"
"217","cg03027354","6"
"218","cg03036777","8"
"219","cg03039243","4"
"220","cg03042802","7"
"221","cg03059896","7"
"222","cg03115470","11"
"223","cg03117544","9"
"224","cg03121337","8"
"225","cg03142837","9"
"226","cg03186004","3"
"227","cg03261155","2"
"228","cg03296283","10"
"229","cg03328107","10"
"230","cg03329572","9"
"231","cg03340318","11"
"232","cg03347944","6"
"233","cg03379131","3"
"234","cg03382564","6"
"235","cg03386595","12"
"236","cg03388445","8"
"237","cg03388712","2"
"238","cg03389046","7"
"239","cg03394122","2"
"240","cg03395993","8"
"241","cg03398002","8"
"242","cg03401488","11"
"243","cg03413303","11"
"244","cg03421300","7"
"245","cg03432225","11"
"246","cg03433241","2"
"247","cg03466562","4"
"248","cg03499234","6"
"249","cg03501596","3"
"250","cg03517712","9"
"251","cg03518417","3"
"252","cg03535461","3"
"253","cg03542031","10"
"254","cg03582736","9"
"255","cg03595243","12"
"256","cg03598444","8"
"257","cg03612692","11"
"258","cg03664527","8"
"259","cg03678139","3"
"260","cg03696327","3"
"261","cg03700669","11"
"262","cg03704061","10"
"263","cg03745013","11"
"264","cg03770108","11"
"265","cg03819515","8"
"266","cg03846892","9"
"267","cg03848145","6"
"268","cg03883331","8"
"269","cg03887676","11"
"270","cg03889479","3"
"271","cg03893446","6"
"272","cg03915541","8"
"273","cg03935117","7"
"274","cg03952484","6"
"275","cg03957235","10"
"276","cg03972745","8"
"277","cg03979582","6"
"278","cg03993263","3"
"279","cg03994465","3"
"280","cg04022097","8"
"281","cg04025127","11"
"282","cg04029421","3"
"283","cg04031504","3"
"284","cg04055049","3"
"285","cg04079251","7"
"286","cg04079538","2"
"287","cg04099056","10"
"288","cg04106076","8"
"289","cg04108706","2"
"290","cg04117530","3"
"291","cg04121973","11"
"292","cg04124586","6"
"293","cg04130657","6"
"294","cg04135144","8"
"295","cg04139359","10"
"296","cg04146995","11"
"297","cg04156383","8"
"298","cg04212081","7"
"299","cg04236263","4"
"300","cg04239247","11"
"301","cg04283307","8"
"302","cg04289045","7"
"303","cg04289891","12"
"304","cg04294319","12"
"305","cg04309227","6"
"306","cg04317700","6"
"307","cg04340324","7"
"308","cg04344205","6"
"309","cg04345751","12"
"310","cg04348183","10"
"311","cg04349178","7"
"312","cg04356968","2"
"313","cg04395167","8"
"314","cg04436701","8"
"315","cg04450606","11"
"316","cg04491808","2"
"317","cg04498032","3"
"318","cg04510459","11"
"319","cg04543026","3"
"320","cg04546165","8"
"321","cg04550950","7"
"322","cg04552378","1"
"323","cg04557181","7"
"324","cg04565067","6"
"325","cg04573851","11"
"326","cg04580750","9"
"327","cg04604962","12"
"328","cg04607246","9"
"329","cg04622001","12"
"330","cg04622601","3"
"331","cg04674248","10"
"332","cg04698187","3"
"333","cg04717485","6"
"334","cg04722605","9"
"335","cg04758387","4"
"336","cg04794532","12"
"337","cg04818845","4"
"338","cg04834966","7"
"339","cg04837231","10"
"340","cg04846962","6"
"341","cg04861645","7"
"342","cg04862500","3"
"343","cg04872947","4"
"344","cg04884025","10"
"345","cg04894642","6"
"346","cg04896437","2"
"347","cg04899629","7"
"348","cg04902049","3"
"349","cg04934870","7"
"350","cg04978408","3"
"351","cg04980002","12"
"352","cg05005791","8"
"353","cg05045781","3"
"354","cg05047325","6"
"355","cg05048348","8"
"356","cg05048624","6"
"357","cg05049638","9"
"358","cg05051464","3"
"359","cg05124440","12"
"360","cg05126581","7"
"361","cg05130830","11"
"362","cg05133756","11"
"363","cg05138397","2"
"364","cg05160181","6"
"365","cg05163509","2"
"366","cg05165700","6"
"367","cg05171336","10"
"368","cg05198938","10"
"369","cg05304553","7"
"370","cg05308895","6"
"371","cg05335953","7"
"372","cg05341549","10"
"373","cg05346878","6"
"374","cg05355142","5"
"375","cg05370193","8"
"376","cg05372647","7"
"377","cg05374982","4"
"378","cg05375405","6"
"379","cg05382282","11"
"380","cg05398769","10"
"381","cg05449257","6"
"382","cg05463656","9"
"383","cg05464302","6"
"384","cg05467523","6"
"385","cg05470502","3"
"386","cg05473804","3"
"387","cg05488984","8"
"388","cg05491852","3"
"389","cg05588972","3"
"390","cg05600023","7"
"391","cg05628390","10"
"392","cg05641351","6"
"393","cg05643453","8"
"394","cg05655022","11"
"395","cg05656812","7"
"396","cg05695384","12"
"397","cg05696931","9"
"398","cg05701590","3"
"399","cg05707463","7"
"400","cg05710479","7"
"401","cg05762852","6"
"402","cg05774892","9"
"403","cg05802169","8"
"404","cg05802244","7"
"405","cg05802386","10"
"406","cg05803596","12"
"407","cg05811567","9"
"408","cg05824755","2"
"409","cg05836788","3"
"410","cg05920908","6"
"411","cg05949020","3"
"412","cg05952379","9"
"413","cg05959980","8"
"414","cg06034133","2"
"415","cg06070002","7"
"416","cg06090275","6"
"417","cg06114363","10"
"418","cg06118546","12"
"419","cg06177107","7"
"420","cg06186150","3"
"421","cg06190807","4"
"422","cg06216065","11"
"423","cg06312477","8"
"424","cg06315149","8"
"425","cg06346362","8"
"426","cg06358191","8"
"427","cg06361006","9"
"428","cg06364417","3"
"429","cg06377684","8"
"430","cg06393286","3"
"431","cg06434451","4"
"432","cg06437052","11"
"433","cg06437922","2"
"434","cg06442097","11"
"435","cg06447122","11"
"436","cg06455470","3"
"437","cg06495060","3"
"438","cg06526522","8"
"439","cg06527919","10"
"440","cg06528231","6"
"441","cg06543160","11"
"442","cg06565220","3"
"443","cg06617975","7"
"444","cg06644660","12"
"445","cg06659980","10"
"446","cg06711078","11"
"447","cg06740440","9"
"448","cg06741803","10"
"449","cg06745235","6"
"450","cg06753086","12"
"451","cg06757925","6"
"452","cg06759632","7"
"453","cg06767191","9"
"454","cg06767701","6"
"455","cg06769116","8"
"456","cg06772279","11"
"457","cg06776741","10"
"458","cg06786773","3"
"459","cg06792347","6"
"460","cg06796611","8"
"461","cg06812309","9"
"462","cg06832359","11"
"463","cg06849504","3"
"464","cg06853697","11"
"465","cg06861375","9"
"466","cg06869171","3"
"467","cg06872673","9"
"468","cg06894549","9"
"469","cg06897860","3"
"470","cg06909630","2"
"471","cg06932483","9"
"472","cg06933072","12"
"473","cg06951363","6"
"474","cg06962428","9"
"475","cg06968741","12"
"476","cg06980013","7"
"477","cg06988467","9"
"478","cg06988967","2"
"479","cg06992027","6"
"480","cg07008478","10"
"481","cg07012484","3"
"482","cg07017636","6"
"483","cg07018026","12"
"484","cg07019697","12"
"485","cg07021523","12"
"486","cg07033903","6"
"487","cg07096763","3"
"488","cg07111988","9"
"489","cg07114751","9"
"490","cg07119434","6"
"491","cg07139668","9"
"492","cg07154958","6"
"493","cg07155223","6"
"494","cg07158747","3"
"495","cg07160540","8"
"496","cg07203951","12"
"497","cg07209821","10"
"498","cg07220007","7"
"499","cg07246449","6"
"500","cg07311881","9"
"501","cg07319459","10"
