"","V1","V2"
"1","cg00001534","8"
"2","cg00008971","12"
"3","cg00013899","13"
"4","cg00021550","13"
"5","cg00038446","9"
"6","cg00039326","9"
"7","cg00053851","13"
"8","cg00060715","11"
"9","cg00063982","1"
"10","cg00082182","10"
"11","cg00103209","1"
"12","cg00105102","3"
"13","cg00108716","12"
"14","cg00113117","12"
"15","cg00118507","12"
"16","cg00119186","1"
"17","cg00151525","10"
"18","cg00152047","9"
"19","cg00163510","1"
"20","cg00172696","1"
"21","cg00183340","10"
"22","cg00255837","2"
"23","cg00269115","7"
"24","cg00301795","7"
"25","cg00306003","1"
"26","cg00347918","9"
"27","cg00428214","6"
"28","cg00443516","12"
"29","cg00452270","9"
"30","cg00454749","12"
"31","cg00495462","10"
"32","cg00502932","10"
"33","cg00525597","3"
"34","cg00541479","10"
"35","cg00565124","12"
"36","cg00565263","9"
"37","cg00577560","9"
"38","cg00657694","1"
"39","cg00661564","6"
"40","cg00672802","12"
"41","cg00710004","2"
"42","cg00717995","8"
"43","cg00721572","2"
"44","cg00723431","2"
"45","cg00756860","3"
"46","cg00761787","10"
"47","cg00762037","2"
"48","cg00786138","12"
"49","cg00786909","8"
"50","cg00791468","10"
"51","cg00796611","8"
"52","cg00800997","2"
"53","cg00805867","2"
"54","cg00806535","13"
"55","cg00810495","2"
"56","cg00825462","2"
"57","cg00831970","9"
"58","cg00845319","3"
"59","cg00848728","10"
"60","cg00853237","12"
"61","cg00854799","8"
"62","cg00890145","1"
"63","cg00903704","13"
"64","cg00907427","10"
"65","cg00908427","9"
"66","cg00912942","1"
"67","cg00936728","3"
"68","cg00947885","12"
"69","cg00948250","9"
"70","cg00953211","3"
"71","cg00956350","10"
"72","cg00958217","12"
"73","cg00969251","8"
"74","cg00979347","10"
"75","cg00988806","1"
"76","cg00989036","1"
"77","cg01002508","13"
"78","cg01016851","6"
"79","cg01017395","12"
"80","cg01021631","1"
"81","cg01030973","2"
"82","cg01068240","1"
"83","cg01071185","3"
"84","cg01071346","2"
"85","cg01085974","3"
"86","cg01100068","10"
"87","cg01104425","9"
"88","cg01119135","9"
"89","cg01134491","2"
"90","cg01147107","6"
"91","cg01154903","3"
"92","cg01179986","2"
"93","cg01205165","3"
"94","cg01298304","1"
"95","cg01318691","2"
"96","cg01380361","9"
"97","cg01388211","2"
"98","cg01395217","13"
"99","cg01423643","8"
"100","cg01432692","12"
"101","cg01432902","9"
"102","cg01466020","2"
"103","cg01468717","2"
"104","cg01515427","1"
"105","cg01535777","8"
"106","cg01537455","13"
"107","cg01549525","13"
"108","cg01554457","12"
"109","cg01571660","1"
"110","cg01574287","13"
"111","cg01587771","2"
"112","cg01671575","1"
"113","cg01698708","10"
"114","cg01748832","8"
"115","cg01781382","1"
"116","cg01791906","1"
"117","cg01793088","10"
"118","cg01819707","6"
"119","cg01819912","8"
"120","cg01828733","6"
"121","cg01829990","10"
"122","cg01840215","2"
"123","cg01881474","5"
"124","cg01909487","10"
"125","cg01917016","2"
"126","cg01936142","8"
"127","cg01939962","8"
"128","cg01943585","13"
"129","cg01950247","10"
"130","cg01958550","2"
"131","cg01960259","10"
"132","cg01965508","3"
"133","cg01973139","1"
"134","cg02006421","12"
"135","cg02051545","13"
"136","cg02061431","10"
"137","cg02066441","9"
"138","cg02067098","1"
"139","cg02081364","10"
"140","cg02103935","8"
"141","cg02117416","9"
"142","cg02138218","3"
"143","cg02182127","5"
"144","cg02224920","10"
"145","cg02242289","10"
"146","cg02274974","12"
"147","cg02275014","1"
"148","cg02279153","9"
"149","cg02281959","10"
"150","cg02289040","9"
"151","cg02289321","12"
"152","cg02293396","1"
"153","cg02293828","2"
"154","cg02300576","9"
"155","cg02302795","3"
"156","cg02308112","6"
"157","cg02326858","6"
"158","cg02330501","13"
"159","cg02360367","8"
"160","cg02361363","10"
"161","cg02366479","2"
"162","cg02388500","13"
"163","cg02390515","13"
"164","cg02392395","8"
"165","cg02394110","6"
"166","cg02394247","8"
"167","cg02418294","2"
"168","cg02457097","10"
"169","cg02459555","2"
"170","cg02459951","2"
"171","cg02473847","13"
"172","cg02482717","3"
"173","cg02485345","13"
"174","cg02555074","2"
"175","cg02574734","3"
"176","cg02575937","9"
"177","cg02580528","10"
"178","cg02587392","12"
"179","cg02590060","1"
"180","cg02595412","8"
"181","cg02599463","10"
"182","cg02614187","2"
"183","cg02623413","13"
"184","cg02624668","13"
"185","cg02668729","10"
"186","cg02670637","9"
"187","cg02671063","12"
"188","cg02672592","13"
"189","cg02735919","13"
"190","cg02736846","1"
"191","cg02737619","2"
"192","cg02745632","2"
"193","cg02768912","12"
"194","cg02773758","10"
"195","cg02805690","8"
"196","cg02814998","2"
"197","cg02878987","10"
"198","cg02889156","8"
"199","cg02892772","8"
"200","cg02900760","12"
"201","cg02911518","10"
"202","cg02915974","13"
