"","V1","V2"
"1","cg00008823","1"
"2","cg00038131","11"
"3","cg00045275","6"
"4","cg00103132","9"
"5","cg00123035","4"
"6","cg00124774","6"
"7","cg00178122","11"
"8","cg00261162","6"
"9","cg00321065","6"
"10","cg00346236","6"
"11","cg00383209","4"
"12","cg00503852","6"
"13","cg00548889","4"
"14","cg00551648","6"
"15","cg00599376","6"
"16","cg00609097","4"
"17","cg00650876","4"
"18","cg00659667","6"
"19","cg00695077","4"
"20","cg00764210","4"
"21","cg00816397","6"
"22","cg00833537","4"
"23","cg00907402","6"
"24","cg01056310","6"
"25","cg01063178","6"
"26","cg01306597","4"
"27","cg01461641","6"
"28","cg01485247","9"
"29","cg01522975","6"
"30","cg01628253","6"
"31","cg01770236","4"
"32","cg01831177","4"
"33","cg01877196","6"
"34","cg02078356","6"
"35","cg02150709","6"
"36","cg02190400","6"
"37","cg02239021","6"
"38","cg02275620","4"
"39","cg02286990","6"
"40","cg02338858","6"
"41","cg02457683","1"
"42","cg02461388","5"
"43","cg02462374","1"
"44","cg02632792","6"
"45","cg02669989","4"
"46","cg02710132","4"
"47","cg02914429","4"
"48","cg03047114","4"
"49","cg03131236","11"
"50","cg03651478","4"
"51","cg03675886","1"
"52","cg03752689","6"
"53","cg03752759","4"
"54","cg03801816","6"
"55","cg03874509","4"
"56","cg04010939","4"
"57","cg04130057","6"
"58","cg04234465","4"
"59","cg04242667","4"
"60","cg04349311","6"
"61","cg04393897","6"
"62","cg04494789","6"
"63","cg04692924","6"
"64","cg04720665","4"
"65","cg04921669","6"
"66","cg04940515","6"
"67","cg05024207","6"
"68","cg05058263","6"
"69","cg05119432","1"
"70","cg05129817","1"
"71","cg05152751","11"
"72","cg05290904","6"
"73","cg05377162","6"
"74","cg05392764","6"
"75","cg05396044","4"
"76","cg05399615","6"
"77","cg05410790","1"
"78","cg05492605","6"
"79","cg05505912","4"
"80","cg05822179","6"
"81","cg05930166","6"
"82","cg05946692","9"
"83","cg05956608","4"
"84","cg06204838","6"
"85","cg06215984","4"
"86","cg06595852","4"
