"","V1","V2"
"1","cg00003858","11"
"2","cg00009834","7"
"3","cg00016968","11"
"4","cg00019458","8"
"5","cg00025643","10"
"6","cg00030816","3"
"7","cg00046105","7"
"8","cg00060956","8"
"9","cg00061678","1"
"10","cg00062312","4"
"11","cg00066722","7"
"12","cg00073244","7"
"13","cg00074184","3"
"14","cg00093522","11"
"15","cg00095674","4"
"16","cg00116092","4"
"17","cg00117335","11"
"18","cg00146437","11"
"19","cg00147307","7"
"20","cg00147638","11"
"21","cg00152708","7"
"22","cg00173005","8"
"23","cg00173170","10"
"24","cg00173504","3"
"25","cg00223046","10"
"26","cg00228796","8"
"27","cg00231049","4"
"28","cg00231528","4"
"29","cg00292636","11"
"30","cg00298399","7"
"31","cg00308767","3"
"32","cg00317626","13"
"33","cg00327516","11"
"34","cg00351750","8"
"35","cg00353407","13"
"36","cg00393263","11"
"37","cg00416176","4"
"38","cg00418068","8"
"39","cg00419822","7"
"40","cg00421368","1"
"41","cg00454997","2"
"42","cg00457087","7"
"43","cg00497091","4"
"44","cg00502062","11"
"45","cg00518190","7"
"46","cg00528453","8"
"47","cg00534255","11"
"48","cg00534919","3"
"49","cg00546153","11"
"50","cg00559234","4"
"51","cg00563229","9"
"52","cg00571448","4"
"53","cg00576267","11"
"54","cg00581617","13"
"55","cg00584713","3"
"56","cg00645626","13"
"57","cg00647859","13"
"58","cg00657871","4"
"59","cg00660626","8"
"60","cg00662782","4"
"61","cg00663000","1"
"62","cg00679738","4"
"63","cg00702072","11"
"64","cg00712762","11"
"65","cg00728398","4"
"66","cg00746981","3"
"67","cg00776160","3"
"68","cg00776601","4"
"69","cg00790970","1"
"70","cg00804097","11"
"71","cg00806505","11"
"72","cg00810607","4"
"73","cg00816936","1"
"74","cg00819233","13"
"75","cg00851981","13"
"76","cg00856273","8"
"77","cg00860640","3"
"78","cg00862390","7"
"79","cg00864860","11"
"80","cg00865962","11"
"81","cg00867391","3"
"82","cg00876376","13"
"83","cg00891011","3"
"84","cg00902464","8"
"85","cg00914562","3"
"86","cg00914781","4"
"87","cg00915214","7"
"88","cg00927134","11"
"89","cg00935435","7"
"90","cg00937489","4"
"91","cg00947686","11"
"92","cg00951108","13"
"93","cg00977164","4"
"94","cg00982167","4"
"95","cg00984967","8"
"96","cg00987350","7"
"97","cg00999623","2"
"98","cg01002125","3"
"99","cg01012394","13"
"100","cg01016030","10"
"101","cg01019985","1"
"102","cg01023053","9"
"103","cg01024458","8"
"104","cg01041284","7"
"105","cg01045946","11"
"106","cg01048764","13"
"107","cg01058902","7"
"108","cg01063509","11"
"109","cg01065679","5"
"110","cg01077379","11"
"111","cg01084386","4"
"112","cg01101364","5"
"113","cg01178703","1"
"114","cg01194901","3"
"115","cg01206410","7"
"116","cg01263850","3"
"117","cg01297397","2"
"118","cg01336162","7"
"119","cg01354137","8"
"120","cg01378578","3"
"121","cg01393233","4"
"122","cg01394052","5"
"123","cg01399319","5"
"124","cg01425670","4"
"125","cg01431830","8"
"126","cg01431908","4"
"127","cg01433225","10"
"128","cg01436771","4"
"129","cg01490578","3"
"130","cg01520321","12"
"131","cg01524359","4"
"132","cg01535838","11"
"133","cg01536190","11"
"134","cg01540571","3"
"135","cg01550545","1"
"136","cg01550810","8"
"137","cg01557753","4"
"138","cg01564977","3"
"139","cg01566460","8"
"140","cg01586952","10"
"141","cg01599189","2"
"142","cg01623797","5"
"143","cg01637218","3"
"144","cg01701959","4"
"145","cg01704332","3"
"146","cg01705587","3"
"147","cg01714087","5"
"148","cg01720742","4"
"149","cg01728495","5"
"150","cg01736252","2"
"151","cg01764116","4"
"152","cg01764808","1"
"153","cg01770831","3"
"154","cg01771201","11"
"155","cg01774454","3"
"156","cg01777678","7"
"157","cg01785339","2"
"158","cg01791338","8"
"159","cg01802640","4"
"160","cg01808968","11"
"161","cg01814963","3"
"162","cg01824919","3"
"163","cg01830883","5"
"164","cg01850505","3"
"165","cg01890417","8"
"166","cg01922613","5"
"167","cg01923894","7"
"168","cg01942719","4"
"169","cg01964467","1"
"170","cg02016753","4"
"171","cg02020077","3"
"172","cg02021210","4"
"173","cg02026604","3"
"174","cg02030524","5"
"175","cg02061553","10"
"176","cg02076848","5"
"177","cg02138098","1"
"178","cg02154456","8"
"179","cg02170310","9"
"180","cg02189925","4"
"181","cg02241397","4"
"182","cg02245566","13"
"183","cg02277710","5"
"184","cg02287573","4"
"185","cg02299542","3"
"186","cg02315113","4"
"187","cg02393845","4"
"188","cg02395184","11"
"189","cg02444243","2"
"190","cg02447488","1"
"191","cg02455392","5"
"192","cg02477458","3"
"193","cg02485348","1"
"194","cg02567289","1"
"195","cg02599835","7"
"196","cg02657611","11"
"197","cg02710503","8"
"198","cg02771577","11"
"199","cg02771890","4"
"200","cg02783662","8"
"201","cg02835977","10"
"202","cg02844629","3"
"203","cg02850795","1"
"204","cg02890896","11"
"205","cg02902318","10"
"206","cg02902865","3"
"207","cg02908338","1"
"208","cg02940454","3"
"209","cg02951134","7"
"210","cg02963198","4"
"211","cg02965157","11"
"212","cg02978013","1"
"213","cg02984632","4"
"214","cg03001143","10"
"215","cg03036064","3"
"216","cg03038003","4"
"217","cg03041738","3"
"218","cg03054909","1"
"219","cg03056547","1"
"220","cg03056614","7"
"221","cg03109229","1"
"222","cg03114253","13"
"223","cg03116424","4"
"224","cg03128133","4"
"225","cg03138854","3"
"226","cg03145987","3"
"227","cg03200818","3"
"228","cg03257923","3"
"229","cg03259874","1"
"230","cg03281194","11"
"231","cg03312565","10"
"232","cg03322129","4"
"233","cg03352347","9"
"234","cg03386617","13"
"235","cg03442467","3"
"236","cg03455458","4"
"237","cg03470684","5"
"238","cg03471436","7"
"239","cg03511671","5"
"240","cg03533858","5"
"241","cg03609269","2"
"242","cg03609308","4"
"243","cg03653317","5"
"244","cg03722802","7"
"245","cg03750606","3"
"246","cg03753813","11"
"247","cg03773882","1"
"248","cg03886315","5"
"249","cg03898845","3"
"250","cg03910004","5"
"251","cg03939566","1"
"252","cg03944843","3"
"253","cg03946707","5"
"254","cg03960804","7"
"255","cg03962411","3"
"256","cg03963900","4"
"257","cg03971484","6"
"258","cg03983398","7"
"259","cg03985555","8"
"260","cg03989520","13"
"261","cg04014002","11"
"262","cg04014586","5"
"263","cg04028643","7"
"264","cg04062187","4"
"265","cg04078221","11"
"266","cg04093149","7"
"267","cg04105350","1"
"268","cg04131063","7"
"269","cg04136449","5"
"270","cg04138976","11"
"271","cg04139429","3"
"272","cg04139827","13"
"273","cg04147049","3"
"274","cg04156896","8"
"275","cg04186622","3"
"276","cg04214370","13"
"277","cg04234170","9"
"278","cg04239548","1"
"279","cg04246113","13"
"280","cg04248796","1"
"281","cg04265492","7"
"282","cg04285727","5"
"283","cg04291082","3"
"284","cg04299400","7"
"285","cg04310074","7"
"286","cg04311227","2"
"287","cg04315255","11"
"288","cg04316231","10"
"289","cg04343292","4"
"290","cg04350922","3"
"291","cg04360147","4"
"292","cg04384245","4"
"293","cg04401067","5"
"294","cg04406229","5"
"295","cg04420275","11"
"296","cg04461949","5"
"297","cg04480767","7"
"298","cg04485075","4"
"299","cg04496899","3"
"300","cg04498190","3"
"301","cg04498511","13"
"302","cg04498902","4"
"303","cg04506114","13"
"304","cg04554690","5"
"305","cg04624458","7"
"306","cg04636557","5"
"307","cg04702490","4"
"308","cg04704887","11"
"309","cg04717579","9"
"310","cg04720588","11"
"311","cg04723723","4"
"312","cg04776304","4"
"313","cg04786791","4"
"314","cg04789392","11"
"315","cg04792863","3"
"316","cg04830049","4"
"317","cg04850284","5"
"318","cg04861230","5"
"319","cg04872869","4"
"320","cg04875436","4"
"321","cg04882847","3"
"322","cg04891455","4"
"323","cg04893145","8"
"324","cg04902405","13"
"325","cg04909257","5"
"326","cg04915463","3"
"327","cg04919581","7"
"328","cg04922908","9"
"329","cg04923746","7"
"330","cg04929165","7"
"331","cg04939016","1"
"332","cg04976319","4"
"333","cg04977376","13"
"334","cg04980281","11"
"335","cg04983128","5"
"336","cg04983606","4"
"337","cg05000987","3"
"338","cg05064852","5"
"339","cg05118455","8"
"340","cg05119467","11"
"341","cg05126289","8"
"342","cg05161938","7"
"343","cg05177851","4"
"344","cg05190718","7"
"345","cg05248781","7"
"346","cg05295584","8"
"347","cg05334554","7"
"348","cg05341670","4"
"349","cg05344282","1"
"350","cg05350839","1"
"351","cg05352668","5"
"352","cg05352688","7"
"353","cg05395321","11"
"354","cg05523254","3"
"355","cg05536984","3"
"356","cg05538983","1"
"357","cg05563388","3"
"358","cg05578673","13"
"359","cg05595429","5"
"360","cg05598546","9"
"361","cg05602648","4"
"362","cg05623957","4"
"363","cg05638165","8"
"364","cg05638830","13"
"365","cg05642308","3"
"366","cg05643503","4"
"367","cg05643592","4"
"368","cg05694089","13"
"369","cg05704832","13"
"370","cg05724097","7"
"371","cg05749067","11"
"372","cg05750926","8"
"373","cg05753486","8"
"374","cg05754905","13"
"375","cg05765466","4"
"376","cg05771459","7"
"377","cg05773155","7"
"378","cg05779364","13"
"379","cg05793299","3"
"380","cg05813650","7"
"381","cg05817517","4"
"382","cg05825950","9"
"383","cg05927645","7"
"384","cg05928257","5"
"385","cg05934125","11"
"386","cg05945425","10"
"387","cg05946640","11"
"388","cg05948962","8"
"389","cg05951137","4"
"390","cg05956521","10"
"391","cg05961348","3"
