"","V1","V2"
"1","cg00001364","9"
"2","cg00003345","10"
"3","cg00003578","6"
"4","cg00022966","7"
"5","cg00026546","9"
"6","cg00032879","9"
"7","cg00035969","4"
"8","cg00073543","4"
"9","cg00077457","7"
"10","cg00087546","7"
"11","cg00093794","10"
"12","cg00103329","10"
"13","cg00115980","3"
"14","cg00143998","3"
"15","cg00147160","5"
"16","cg00242627","4"
"17","cg00252422","3"
"18","cg00259367","9"
"19","cg00292107","8"
"20","cg00293644","9"
"21","cg00294558","7"
"22","cg00306426","1"
"23","cg00317754","7"
"24","cg00330455","9"
"25","cg00330518","7"
"26","cg00338479","5"
"27","cg00338801","3"
"28","cg00355633","1"
"29","cg00361992","7"
"30","cg00386725","5"
"31","cg00397104","7"
"32","cg00405069","5"
"33","cg00406188","7"
"34","cg00407413","2"
"35","cg00413352","9"
"36","cg00421541","2"
"37","cg00452835","2"
"38","cg00454862","11"
"39","cg00462240","9"
"40","cg00463859","10"
"41","cg00464946","2"
"42","cg00501542","11"
"43","cg00502254","6"
"44","cg00503866","8"
"45","cg00513220","1"
"46","cg00528040","8"
"47","cg00533390","10"
"48","cg00549451","4"
"49","cg00558749","5"
"50","cg00559790","3"
"51","cg00562879","7"
"52","cg00566320","9"
"53","cg00582671","2"
"54","cg00584815","7"
"55","cg00586058","10"
"56","cg00600454","2"
"57","cg00625963","2"
"58","cg00653179","11"
"59","cg00658007","4"
"60","cg00694357","4"
"61","cg00718242","11"
"62","cg00759254","2"
"63","cg00771553","2"
"64","cg00772813","3"
"65","cg00782828","1"
"66","cg00795024","4"
"67","cg00795248","4"
"68","cg00815519","7"
"69","cg00819310","9"
"70","cg00819871","10"
"71","cg00821310","7"
"72","cg00823095","1"
"73","cg00825734","10"
"74","cg00831929","1"
"75","cg00833394","3"
"76","cg00833614","4"
"77","cg00862394","7"
"78","cg00867230","9"
"79","cg00908631","7"
"80","cg00909706","9"
"81","cg00915178","4"
"82","cg00921097","10"
"83","cg00950809","1"
"84","cg00960552","4"
"85","cg00979000","4"
"86","cg00990358","10"
"87","cg01002313","2"
"88","cg01005303","9"
"89","cg01006332","7"
"90","cg01013155","2"
"91","cg01047045","2"
"92","cg01048810","10"
"93","cg01066954","10"
"94","cg01070794","3"
"95","cg01072498","10"
"96","cg01083716","1"
"97","cg01100796","4"
"98","cg01101178","9"
"99","cg01119512","1"
"100","cg01133446","8"
