"","V1","V2"
"1","cg00006626","1"
"2","cg00026803","10"
"3","cg00040588","11"
"4","cg00041641","3"
"5","cg00043510","11"
"6","cg00054243","3"
"7","cg00058291","10"
"8","cg00059015","4"
"9","cg00078968","8"
"10","cg00081729","7"
"11","cg00085493","6"
"12","cg00095326","2"
"13","cg00097452","11"
"14","cg00102093","1"
"15","cg00103785","11"
"16","cg00104098","7"
"17","cg00112238","2"
"18","cg00113369","3"
"19","cg00122659","5"
"20","cg00157962","9"
"21","cg00172849","6"
"22","cg00175709","8"
"23","cg00222472","10"
"24","cg00251405","2"
"25","cg00256046","5"
"26","cg00257455","11"
"27","cg00286621","8"
"28","cg00291366","10"
"29","cg00294152","7"
"30","cg00298977","10"
"31","cg00310940","6"
"32","cg00318631","10"
"33","cg00346898","10"
"34","cg00355799","4"
"35","cg00373665","8"
"36","cg00379090","4"
"37","cg00388391","11"
"38","cg00391668","9"
"39","cg00423114","4"
"40","cg00478361","8"
"41","cg00482226","11"
"42","cg00483992","1"
"43","cg00541303","2"
"44","cg00547983","6"
"45","cg00556419","6"
"46","cg00567854","9"
"47","cg00569500","7"
"48","cg00571483","2"
"49","cg00596048","11"
"50","cg00597687","2"
"51","cg00645010","8"
"52","cg00668303","2"
"53","cg00669623","8"
"54","cg00695391","7"
"55","cg00696930","10"
"56","cg00754357","6"
"57","cg00769305","9"
"58","cg00787856","9"
"59","cg00788699","3"
"60","cg00790672","3"
"61","cg00793992","1"
"62","cg00794381","4"
"63","cg00806959","3"
"64","cg00809477","1"
"65","cg00809863","11"
"66","cg00815832","10"
"67","cg00852051","1"
"68","cg00868131","11"
"69","cg00891611","4"
"70","cg00908758","1"
"71","cg00909806","8"
"72","cg00910103","6"
"73","cg00929376","1"
"74","cg00934037","6"
"75","cg00954161","4"
"76","cg00955307","2"
"77","cg00975746","11"
"78","cg00988346","11"
"79","cg00992048","2"
"80","cg00996053","6"
"81","cg01002223","4"
"82","cg01005080","6"
"83","cg01008154","8"
"84","cg01012879","7"
"85","cg01015663","9"
"86","cg01017839","11"
"87","cg01020987","2"
"88","cg01022189","4"
"89","cg01022200","6"
"90","cg01022916","10"
"91","cg01040434","2"
"92","cg01059116","11"
"93","cg01069808","3"
"94","cg01077724","6"
"95","cg01084918","7"
"96","cg01181681","6"
"97","cg01193554","6"
"98","cg01195848","3"
"99","cg01233392","3"
"100","cg01320507","4"
"101","cg01335180","7"
"102","cg01347529","6"
"103","cg01357370","11"
"104","cg01359534","10"
"105","cg01365152","4"
"106","cg01367992","5"
"107","cg01393234","8"
"108","cg01398415","8"
"109","cg01402735","2"
"110","cg01410279","4"
"111","cg01412518","5"
"112","cg01414407","2"
"113","cg01416295","9"
"114","cg01418153","10"
"115","cg01427957","2"
"116","cg01429933","10"
"117","cg01431057","9"
"118","cg01437204","6"
"119","cg01439649","4"
"120","cg01443433","1"
"121","cg01445052","11"
"122","cg01445827","4"
"123","cg01448098","11"
"124","cg01451162","6"
"125","cg01471713","2"
"126","cg01515136","10"
"127","cg01523881","2"
"128","cg01560642","8"
"129","cg01564665","3"
"130","cg01565130","11"
"131","cg01579216","1"
"132","cg01602166","4"
"133","cg01612158","3"
"134","cg01727899","4"
"135","cg01759628","9"
"136","cg01768342","11"
"137","cg01769341","9"
"138","cg01776299","5"
"139","cg01783406","4"
"140","cg01785514","9"
"141","cg01787285","2"
"142","cg01792592","5"
"143","cg01800148","1"
"144","cg01804134","2"
"145","cg01804500","1"
"146","cg01811100","9"
"147","cg01811796","2"
"148","cg01815720","2"
"149","cg01824138","5"
"150","cg01834373","1"
"151","cg01836910","4"
"152","cg01855272","6"
"153","cg01878406","2"
"154","cg01902845","9"
"155","cg01923724","9"
"156","cg01924561","7"
"157","cg01932308","4"
"158","cg01934408","2"
"159","cg01937247","7"
"160","cg01938018","11"
"161","cg01941663","3"
"162","cg01948978","7"
"163","cg01963297","9"
"164","cg02054457","3"
"165","cg02079122","10"
"166","cg02081327","3"
"167","cg02138082","1"
"168","cg02148612","10"
"169","cg02152417","4"
"170","cg02152578","8"
"171","cg02153855","9"
"172","cg02168592","1"
"173","cg02172466","4"
"174","cg02191044","8"
"175","cg02193146","5"
"176","cg02268584","4"
"177","cg02280859","10"
"178","cg02294281","1"
"179","cg02295527","3"
"180","cg02298525","3"
"181","cg02304233","6"
"182","cg02341264","6"
"183","cg02415029","6"
"184","cg02450563","1"
"185","cg02451670","5"
"186","cg02457750","6"
"187","cg02481000","2"
"188","cg02482603","9"
"189","cg02489685","4"
"190","cg02493846","10"
"191","cg02504229","8"
"192","cg02518135","2"
"193","cg02570888","10"
"194","cg02571074","4"
"195","cg02573357","6"
"196","cg02583796","1"
"197","cg02586830","4"
"198","cg02605776","2"
"199","cg02655351","2"
"200","cg02670343","5"
"201","cg02688760","8"
"202","cg02720091","4"
"203","cg02760152","3"
"204","cg02790379","8"
"205","cg02829654","4"
"206","cg02852407","2"
"207","cg02854922","2"
"208","cg02861504","7"
"209","cg02861541","4"
"210","cg02901139","2"
"211","cg02904701","11"
"212","cg02928345","9"
"213","cg02951739","5"
"214","cg02977575","2"
"215","cg02992639","6"
"216","cg02998333","2"
"217","cg03009158","6"
"218","cg03036575","4"
"219","cg03043406","10"
"220","cg03054846","10"
"221","cg03055733","4"
"222","cg03096785","1"
"223","cg03103850","9"
"224","cg03106717","4"
"225","cg03119043","6"
"226","cg03123541","10"
"227","cg03130816","7"
"228","cg03217227","10"
"229","cg03224850","3"
"230","cg03242265","2"
"231","cg03278726","5"
"232","cg03318469","9"
"233","cg03329148","1"
"234","cg03343128","6"
"235","cg03386715","9"
"236","cg03417473","9"
"237","cg03432774","10"
"238","cg03434029","2"
"239","cg03439662","6"
"240","cg03471150","10"
"241","cg03515844","9"
"242","cg03525818","4"
"243","cg03580801","4"
"244","cg03583857","2"
"245","cg03598074","4"
"246","cg03607951","1"
"247","cg03612577","4"
"248","cg03617456","2"
"249","cg03649796","1"
"250","cg03679305","8"
"251","cg03700143","3"
"252","cg03719984","1"
"253","cg03729042","4"
"254","cg03749917","10"
"255","cg03762572","11"
"256","cg03763950","11"
"257","cg03765258","10"
"258","cg03794445","4"
"259","cg03844060","9"
"260","cg03851496","11"
"261","cg03853809","2"
"262","cg03888064","4"
"263","cg03899372","8"
"264","cg03943115","7"
"265","cg03945538","9"
"266","cg03950476","2"
"267","cg03957695","4"
"268","cg03958928","1"
"269","cg03976856","7"
"270","cg03977657","3"
"271","cg04020309","2"
"272","cg04021497","8"
"273","cg04024799","9"
"274","cg04065086","2"
"275","cg04085339","9"
"276","cg04087271","6"
"277","cg04094548","5"
"278","cg04099186","5"
"279","cg04100190","10"
"280","cg04119678","6"
"281","cg04121631","6"
"282","cg04131194","7"
"283","cg04136456","11"
"284","cg04145937","4"
"285","cg04159878","9"
"286","cg04162034","4"
"287","cg04218548","5"
"288","cg04222933","9"
"289","cg04249754","11"
"290","cg04260676","10"
"291","cg04279411","9"
"292","cg04304509","5"
"293","cg04315682","10"
"294","cg04323713","1"
"295","cg04343883","7"
"296","cg04345332","3"
"297","cg04355435","11"
"298","cg04361579","4"
"299","cg04364728","6"
"300","cg04400047","11"
"301","cg04409319","1"
"302","cg04411337","1"
"303","cg04430911","9"
"304","cg04436964","3"
"305","cg04444949","2"
"306","cg04460567","1"
"307","cg04489548","9"
"308","cg04554131","6"
"309","cg04554817","1"
"310","cg04629204","9"
"311","cg04721884","7"
"312","cg04732193","4"
"313","cg04757093","5"
"314","cg04771433","6"
"315","cg04776040","4"
"316","cg04794690","6"
"317","cg04830546","1"
"318","cg04833017","11"
"319","cg04846203","11"
"320","cg04867423","4"
"321","cg04870460","11"
"322","cg04872475","8"
"323","cg04872610","2"
"324","cg04880195","11"
"325","cg04902529","5"
"326","cg04903884","10"
"327","cg04910587","1"
"328","cg04921771","3"
"329","cg04923174","4"
"330","cg04925599","8"
"331","cg04955573","10"
"332","cg04972748","5"
"333","cg04972930","4"
"334","cg04979216","4"
"335","cg04981940","1"
"336","cg04988794","3"
"337","cg05035280","7"
"338","cg05040210","6"
"339","cg05049094","4"
"340","cg05053365","4"
"341","cg05062491","7"
"342","cg05122040","3"
"343","cg05129477","9"
"344","cg05164968","6"
"345","cg05243438","8"
"346","cg05266497","1"
"347","cg05308979","3"
"348","cg05314024","6"
"349","cg05333568","2"
"350","cg05336956","2"
"351","cg05352087","8"
