"","V1","V2"
"1","cg00002808","5"
"2","cg00007221","1"
"3","cg00009167","4"
"4","cg00026457","3"
"5","cg00030501","3"
"6","cg00034468","7"
"7","cg00041872","4"
"8","cg00057114","10"
"9","cg00057791","5"
"10","cg00065071","6"
"11","cg00067196","10"
"12","cg00068153","1"
"13","cg00071381","3"
"14","cg00094585","10"
"15","cg00097968","12"
"16","cg00098336","1"
"17","cg00103908","3"
"18","cg00108454","9"
"19","cg00112251","11"
"20","cg00128766","2"
"21","cg00139056","3"
"22","cg00145672","3"
"23","cg00145904","1"
"24","cg00145969","10"
"25","cg00162751","2"
"26","cg00165121","10"
"27","cg00168835","2"
"28","cg00187614","7"
"29","cg00188746","11"
"30","cg00207865","11"
"31","cg00213004","6"
"32","cg00248302","3"
"33","cg00251716","3"
"34","cg00280609","1"
"35","cg00305188","6"
"36","cg00313185","6"
"37","cg00322486","12"
"38","cg00328210","5"
"39","cg00328870","1"
"40","cg00330318","1"
"41","cg00335361","3"
"42","cg00341297","1"
"43","cg00341980","4"
"44","cg00370968","10"
"45","cg00386961","5"
"46","cg00388838","10"
"47","cg00397103","5"
"48","cg00417605","5"
"49","cg00452755","12"
"50","cg00463507","4"
"51","cg00503298","10"
"52","cg00508158","10"
"53","cg00515905","10"
"54","cg00521598","2"
"55","cg00524289","3"
"56","cg00526316","6"
"57","cg00528464","4"
"58","cg00529480","5"
"59","cg00540544","6"
"60","cg00543976","2"
"61","cg00548060","5"
"62","cg00566899","1"
"63","cg00573165","10"
"64","cg00575003","10"
"65","cg00578174","2"
"66","cg00584602","8"
"67","cg00590761","11"
"68","cg00615145","7"
"69","cg00646546","10"
"70","cg00647769","1"
"71","cg00653085","10"
"72","cg00668515","1"
"73","cg00692549","2"
"74","cg00694324","10"
"75","cg00703019","6"
"76","cg00704288","4"
"77","cg00737593","10"
"78","cg00759987","10"
"79","cg00776464","11"
"80","cg00805294","5"
"81","cg00819857","5"
"82","cg00824547","12"
"83","cg00831358","11"
"84","cg00832644","10"
"85","cg00834379","4"
"86","cg00850996","1"
"87","cg00862417","5"
"88","cg00893538","6"
"89","cg00922841","1"
"90","cg00949922","6"
"91","cg00951597","2"
"92","cg00955686","10"
"93","cg00958215","2"
"94","cg00958225","10"
"95","cg00958944","5"
"96","cg00960197","2"
"97","cg00965643","1"
"98","cg00979634","6"
"99","cg01004056","2"
"100","cg01006034","5"
"101","cg01036148","6"
"102","cg01115565","10"
"103","cg01134274","8"
"104","cg01143426","5"
"105","cg01175682","11"
"106","cg01179095","1"
"107","cg01215682","3"
"108","cg01244651","5"
"109","cg01250454","5"
"110","cg01275687","6"
"111","cg01314194","6"
"112","cg01318248","2"
"113","cg01333788","10"
"114","cg01339558","2"
"115","cg01340314","2"
"116","cg01366407","6"
"117","cg01392351","5"
"118","cg01395456","11"
"119","cg01396655","3"
"120","cg01411954","6"
"121","cg01417714","12"
"122","cg01421044","3"
"123","cg01423098","3"
"124","cg01425718","10"
"125","cg01440350","12"
"126","cg01447498","6"
"127","cg01490733","9"
"128","cg01508988","7"
"129","cg01511022","4"
"130","cg01512396","10"
"131","cg01566199","5"
"132","cg01583940","5"
"133","cg01721835","3"
"134","cg01722695","2"
"135","cg01725297","3"
"136","cg01728712","1"
"137","cg01769968","5"
"138","cg01771444","2"
"139","cg01773061","11"
"140","cg01773518","1"
"141","cg01778864","5"
"142","cg01785490","10"
"143","cg01787944","3"
"144","cg01788438","4"
"145","cg01792402","9"
"146","cg01794473","2"
"147","cg01794853","1"
"148","cg01796208","11"
