"","V1","V2"
"1","cg00043599","5"
"2","cg00043790","10"
"3","cg00055881","4"
"4","cg00066270","10"
"5","cg00067102","13"
"6","cg00073384","4"
"7","cg00087273","12"
"8","cg00087420","4"
"9","cg00087511","8"
"10","cg00108524","13"
"11","cg00111333","4"
"12","cg00112588","5"
"13","cg00112929","10"
"14","cg00136477","1"
"15","cg00145979","11"
"16","cg00152644","4"
"17","cg00152878","6"
"18","cg00177203","8"
"19","cg00177797","11"
"20","cg00255368","7"
"21","cg00308185","4"
"22","cg00340024","10"
"23","cg00344655","4"
"24","cg00356916","10"
"25","cg00359465","5"
"26","cg00367463","11"
"27","cg00385956","9"
"28","cg00387941","9"
"29","cg00388673","8"
"30","cg00419759","11"
"31","cg00460049","13"
"32","cg00462430","9"
"33","cg00532502","5"
"34","cg00534684","9"
"35","cg00539154","5"
"36","cg00544032","6"
"37","cg00557099","6"
"38","cg00559963","8"
"39","cg00562088","10"
"40","cg00581541","9"
"41","cg00594099","4"
"42","cg00594907","8"
"43","cg00617305","13"
"44","cg00624908","10"
"45","cg00625425","8"
"46","cg00638574","5"
"47","cg00701741","11"
"48","cg00707317","13"
"49","cg00745274","13"
"50","cg00755423","8"
"51","cg00755561","10"
"52","cg00762397","10"
"53","cg00777271","5"
"54","cg00779797","10"
"55","cg00783712","4"
"56","cg00784308","13"
"57","cg00786939","9"
"58","cg00812246","4"
"59","cg00820581","11"
"60","cg00826603","5"
"61","cg00829404","4"
"62","cg00874055","11"
"63","cg00878533","5"
"64","cg00911446","6"
"65","cg00915289","13"
"66","cg00920043","11"
"67","cg00944580","5"
"68","cg00953314","10"
"69","cg00955674","4"
"70","cg00955867","10"
"71","cg00961139","5"
"72","cg00977903","8"
"73","cg00979527","4"
"74","cg00982535","9"
"75","cg00987513","8"
"76","cg00990022","13"
"77","cg00998782","10"
"78","cg01012560","7"
"79","cg01064108","13"
"80","cg01079969","13"
"81","cg01081168","9"
"82","cg01084154","11"
"83","cg01097102","10"
"84","cg01097325","10"
"85","cg01116067","13"
"86","cg01118679","10"
"87","cg01178854","5"
"88","cg01199807","10"
"89","cg01250490","9"
"90","cg01259619","13"
"91","cg01292939","11"
"92","cg01295264","5"
"93","cg01328119","13"
"94","cg01371155","11"
"95","cg01395281","13"
"96","cg01401694","11"
"97","cg01416168","4"
"98","cg01418817","5"
"99","cg01426743","9"
"100","cg01428953","5"
"101","cg01433468","10"
"102","cg01433556","13"
"103","cg01441049","4"
"104","cg01445399","8"
"105","cg01447854","8"
"106","cg01508386","13"
"107","cg01512113","8"
"108","cg01517208","6"
"109","cg01517273","11"
"110","cg01532487","8"
"111","cg01588776","12"
"112","cg01653110","12"
"113","cg01656955","11"
"114","cg01693305","4"
"115","cg01700472","13"
"116","cg01714921","1"
"117","cg01719898","6"
"118","cg01726465","10"
"119","cg01728667","13"
"120","cg01750764","8"
"121","cg01780990","8"
"122","cg01783960","5"
"123","cg01789501","10"
"124","cg01793445","10"
"125","cg01794932","13"
"126","cg01796184","11"
"127","cg01807748","10"
"128","cg01811416","7"
"129","cg01846776","13"
"130","cg01868612","13"
"131","cg01921777","13"
"132","cg01923272","10"
"133","cg01925469","6"
"134","cg01937669","13"
"135","cg01958916","13"
