"","V1","V2"
"1","cg00001446","5"
"2","cg00008810","10"
"3","cg00019308","1"
"4","cg00022642","3"
"5","cg00049156","2"
"6","cg00058923","1"
"7","cg00067058","5"
"8","cg00093220","3"
"9","cg00102183","8"
"10","cg00114710","6"
"11","cg00121147","3"
"12","cg00156991","5"
"13","cg00171084","12"
"14","cg00197028","5"
"15","cg00209951","13"
"16","cg00245778","8"
"17","cg00256816","8"
"18","cg00257473","10"
"19","cg00265863","12"
"20","cg00307383","7"
"21","cg00308770","10"
"22","cg00321478","1"
"23","cg00339356","13"
"24","cg00339782","8"
"25","cg00344209","5"
"26","cg00348771","13"
"27","cg00352397","3"
"28","cg00373020","5"
"29","cg00389420","3"
"30","cg00394221","10"
"31","cg00405232","3"
"32","cg00410895","2"
"33","cg00449021","12"
"34","cg00450425","8"
"35","cg00451039","3"
"36","cg00463239","7"
"37","cg00510956","10"
"38","cg00533084","12"
"39","cg00576736","5"
"40","cg00591489","12"
"41","cg00628228","12"
"42","cg00648558","1"
"43","cg00659035","3"
"44","cg00673963","3"
"45","cg00700455","8"
"46","cg00709387","5"
"47","cg00713005","5"
"48","cg00755836","3"
"49","cg00784105","7"
"50","cg00792251","5"
"51","cg00793497","3"
"52","cg00833364","10"
"53","cg00838829","10"
"54","cg00874641","12"
"55","cg00904574","3"
"56","cg00918541","3"
"57","cg00938395","3"
"58","cg00962000","10"
"59","cg00968536","12"
"60","cg00998379","6"
"61","cg01011619","3"
"62","cg01023668","3"
"63","cg01024473","1"
"64","cg01028869","3"
"65","cg01040782","1"
"66","cg01058602","1"
"67","cg01068006","12"
"68","cg01068621","1"
"69","cg01073918","10"
"70","cg01081836","3"
"71","cg01083689","13"
"72","cg01095590","3"
"73","cg01103730","1"
"74","cg01104549","2"
"75","cg01226883","12"
"76","cg01258522","12"
"77","cg01324793","3"
"78","cg01330391","3"
"79","cg01435118","6"
"80","cg01443394","5"
"81","cg01444797","7"
"82","cg01531388","12"
"83","cg01554357","5"
"84","cg01555432","8"
"85","cg01614716","12"
"86","cg01634153","12"
"87","cg01637011","3"
"88","cg01668452","12"
"89","cg01719100","5"
"90","cg01727348","8"
"91","cg01741932","3"
"92","cg01755009","8"
"93","cg01769457","3"
"94","cg01773951","3"
"95","cg01781649","10"
"96","cg01786109","8"
"97","cg01799521","1"
"98","cg01815718","10"
"99","cg01817019","5"
"100","cg01883521","12"
"101","cg01891209","5"
"102","cg01906905","7"
"103","cg01918888","12"
"104","cg01920090","10"
"105","cg01931775","12"
"106","cg01933946","3"
"107","cg01954107","12"
"108","cg01959873","8"
"109","cg01961278","1"
"110","cg01963059","1"
"111","cg02047702","3"
"112","cg02049829","7"
"113","cg02051805","3"
"114","cg02066936","6"
"115","cg02108436","3"
"116","cg02232840","1"
"117","cg02281178","13"
"118","cg02301193","8"
"119","cg02339674","13"
